file_name	seed	formula_x	formula_y
2018-11-17-23-41_seed_5139.png	5139	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-41_seed_6208.png	6208	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-41_seed_4849.png	4849	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-41_seed_8951.png	8951	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-42_seed_7168.png	7168	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-42_seed_6167.png	6167	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-42_seed_2096.png	2096	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-42_seed_9571.png	9571	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-42_seed_6417.png	6417	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-45_seed_7942.png	7942	runif(1, -1, 1) * x_i^4 - sin(y_i^4)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-45_seed_9727.png	9727	runif(1, -1, 1) * x_i^4 - sin(y_i^4)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-45_seed_4396.png	4396	runif(1, -1, 1) * x_i^4 - sin(y_i^4)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-45_seed_3159.png	3159	runif(1, -1, 1) * x_i^4 - sin(y_i^4)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-45_seed_5099.png	5099	runif(1, -1, 1) * x_i^4 - sin(y_i^4)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-48_seed_5420.png	5420	runif(1, -1, 1) * x_i^4 - sin(y_i^4)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
2018-11-17-23-48_seed_8572.png	8572	runif(1, -1, 1) * x_i^4 - sin(y_i^4)	runif(1, -1, 1) * y_i^4 - cos(x_i^4)
